kode,nama,program_kode,anggaran,satuan_kerja,satuan_kerja_id
3.26.01.1.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,3.26.01,255444150,Dinas Pariwisata dan Kebudayaan,1009
1.05.01.1.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,1.05.01,15000000,Satuan Polisi dan Pamong Praja,1027
5.05.01.1.02,Administrasi Keuangan Perangkat Daerah,5.05.01,12317917413,Badan Penelitian dan Pengembangan Daerah,1045
1.03.06.1.01,Pengelolaan dan Pengembangan Sistem Drainase yang Terhubung Langsung dengan Sungai Lintas Daerah Kabupaten/Kota dan Kawasan Strategis Provinsi,1.03.06,300912000,Dinas Perumahan dan Permukiman,1012
3.25.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01,951571458,Dinas Kelautan dan Perikanan,1018
2.08.01.1.06,Administrasi Umum Perangkat Daerah,2.08.01,1184503090,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",1041
3.29.01.1.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,3.29.01,588116144,Dinas Energi dan Sumber Daya Mineral,1013
2.22.01.1.06,Administrasi Umum Perangkat Daerah,2.22.01,343929959,Dinas Pariwisata dan Kebudayaan,1009
2.08.01.1.02,Administrasi Keuangan Perangkat Daerah,2.08.01,16476347555,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",1041
4.01.06.1.03,Pengelolaan Kebijakan dan Koordinasi BUMD dan BLUD,4.01.06,3905441480,Sekretariat Daerah,1001
8.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,8.01.01,2200898400,Badan Kesatuan Bangsa dan Politik,1035
3.27.04.1.02,Pengawasan Pemasukan dan Pengeluaran Hewan dan Produk Hewan Lintas Daerah Provinsi,3.27.04,160582584,Dinas Ketahanan Pangan dan Peternakan,1017
2.08.07.1.03,Penguatan dan Pengembangan Lembaga Penyedia Layanan bagi Anak yang Memerlukan Perlindungan Khusus Tingkat Daerah Provinsi dan Lintas Daerah Kabupaten/Kota,2.08.07,51306000,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",1041
3.28.03.1.04,Pelaksanaan Rehabilitasi di Luar Kawasan Hutan Negara,3.28.03,36510815100,Dinas Kehutanan,1019
2.19.01.1.06,Administrasi Umum Perangkat Daerah,2.19.01,2103280000,Dinas Pemuda dan Olahraga,1021
2.18.01.1.02,Administrasi Keuangan Perangkat Daerah,2.18.01,25628527698,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,1046
3.29.03.1.03,Penatausahaan Izin Usaha Pertambangan Mineral Bukan Logam dan Batuan dalam rangka Penanaman Modal Dalam Negeri pada Wilayah Izin Usaha Pertambangan Daerah yang Berada dalam 1 (satu) Daerah Provinsi termasuk Wilayah Laut sampai dengan 12 Mil Laut,3.29.03,989248150,Dinas Energi dan Sumber Daya Mineral,1013
2.08.07.1.02,Penyediaan Layanan bagi Anak yang Memerlukan Perlindungan Khusus yang Memerlukan Koordinasi Tingkat Daerah Provinsi,2.08.07,345044000,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",1041
5.02.02.1.04,Koordinasi dan Pelaksanaan Akuntansi dan Pelaporan Keuangan Daerah,5.02.02,2813321576,Badan Pengelolaan Keuangan dan Aset Daerah,1024
5.02.01.1.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,5.02.01,962030350,Badan Pengelolaan Keuangan dan Aset Daerah,1024
2.17.02.1.01,Penerbitan Izin Usaha Simpan Pinjam untuk Koperasi dengan Wilayah Keanggotaan Lintas Daerah Kabupaten/Kota dalam 1 (satu) Daerah Provinsi,2.17.02,191180050,Dinas Koperasi dan Usaha Kecil,1014
3.27.04.1.03,Penerapan Persyaratan Teknis Sertifikasi Zona/Kompartemen Bebas Penyakit dan Unit Usaha Produk Hewan,3.27.04,2417993700,Dinas Ketahanan Pangan dan Peternakan,1017
5.01.01.1.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,5.01.01,125541120,Badan Perencanaan Pembangunan Daerah,1026
2.15.01.1.06,Administrasi Umum Perangkat Daerah,2.15.01,1628012493,Badan Penghubung,1043
5.04.02.1.02,"Sertifikasi, Kelembagaan, Pengembangan Kompetensi Manajerial dan Fungsional",5.04.02,4263440489,Badan Pengembangan Sumber Daya Manusia,1031
2.24.02.1.02,Pengelolaan Arsip Statis Daerah Provinsi,2.24.02,209999844,Dinas Perpustakaan dan Kearsipan,1040
8.01.04.1.01,Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Pemberdayaan dan Pengawasan Organisasi Kemasyarakatan,8.01.04,9158152320,Badan Kesatuan Bangsa dan Politik,1035
4.02.02.1.08,Fasilitasi Tugas DPRD,4.02.02,24964620182,Sekretariat Dewan Perwakilan Rakyat Daerah,1002
3.31.01.1.05,Administrasi Kepegawaian Perangkat Daerah,3.31.01,464660000,Dinas Perindustrian dan Perdagangan,1015
2.09.01.1.05,Administrasi Kepegawaian Perangkat Daerah,2.09.01,113050000,Dinas Ketahanan Pangan dan Peternakan,1017
4.01.07.1.01,Pengelolaan Pengadaan Barang dan Jasa,4.01.07,868410000,Sekretariat Daerah,1001
2.12.04.1.02,Penyelenggaraan Pengelolaan Informasi Administrasi Kependudukan Provinsi,2.12.04,191280000,Dinas Kependudukan dan Pencatatan Sipil,1023
3.25.02.1.03,Pemberdayaan Masyarakat Pesisir dan Pulau-Pulau Kecil,3.25.02,1781039200,Dinas Kelautan dan Perikanan,1018
1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.01.01,15820324921,Dinas Pendidikan,1003
2.07.04.1.04,Pelindungan PMI (Pra dan Purna Penempatan) di Daerah Provinsi,2.07.04,1498844930,Dinas Tenaga Kerja dan Transmigrasi,1007
2.18.02.1.02,Pembuatan Peta Potensi Investasi Provinsi,2.18.02,150000000,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,1046
1.05.04.1.01,Penyelenggaraan Pemetaan Rawan Bencana Kebakaran,1.05.04,300000000,Badan Penanggulangan Bencana Daerah,1080
2.23.01.1.05,Administrasi Kepegawaian Perangkat Daerah,2.23.01,43400000,Dinas Perpustakaan dan Kearsipan,1040
