kode,nama,satuan_kerja,anggaran,satuan_kerja_id
4.01.08,PROGRAM KEBIJAKAN ADMINISTRASI PEMBANGUNAN,Sekretariat Daerah,797888680,1001
1.06.05,PROGRAM PERLINDUNGAN DAN JAMINAN SOSIAL,Dinas Sosial,617055000,1006
5.07.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Badan Penghubung,6569742499,1043
3.28.05,"PROGRAM PENDIDIKAN DAN PELATIHAN, PENYULUHAN DAN PEMBERDAYAAN MASYARAKAT DI BIDANG KEHUTANAN",Dinas Kehutanan,464799000,1019
1.05.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Badan Penanggulangan Bencana Daerah,18646291167,1080
2.11.09,PROGRAM PENGHARGAAN LINGKUNGAN HIDUP UNTUK MASYARAKAT,Dinas Lingkungan Hidup,504509200,1034
1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,Dinas Bina Marga dan Penataan Ruang,8536123513,1010
2.08.06,PROGRAM PEMENUHAN HAK ANAK (PHA),"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",417565000,1041
1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Pendidikan,4277467329709,1003
1.03.06,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM DRAINASE,Dinas Perumahan dan Permukiman,300912000,1012
3.25.06,PROGRAM PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN,Dinas Kelautan dan Perikanan,1863541300,1018
5.05.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Badan Penelitian dan Pengembangan Daerah,16792690313,1045
3.27.02,PROGRAM PENYEDIAAN DAN PENGEMBANGAN SARANA PERTANIAN,Dinas Perkebunan,14646702425,1020
5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,Badan Pengelolaan Keuangan dan Aset Daerah,12763932745665,1024
4.02.02,PROGRAM DUKUNGAN PELAKSANAAN TUGAS DAN FUNGSI DPRD,Sekretariat Dewan Perwakilan Rakyat Daerah,193593682038,1002
2.11.05,PROGRAM PENGENDALIAN BAHAN BERBAHAYA DAN BERACUN (B3) DAN LIMBAH BAHAN BERBAHAYA DAN BERACUN (LIMBAH B3),Dinas Lingkungan Hidup,162735500,1034
1.03.04,PROGRAM PENGEMBANGAN SISTEM DAN PENGELOLAAN PERSAMPAHAN REGIONAL,Dinas Perumahan dan Permukiman,2493283499,1012
3.31.03,PROGRAM PENGENDALIAN IZIN USAHA INDUSTRI,Dinas Perindustrian dan Perdagangan,693212000,1015
