kode,nama,anggaran,kegiatan_kode,satuan_kerja,satuan_kerja_id
1.01.02.1.01.01,Pembangunan USB (Unit Sekolah Baru),6712521000,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.02,Penambahan Ruang Kelas Baru,40599817864,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.12,Pembangunan Ruang Serba Guna/Aula,0,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.14,"Pembangunan Sarana, Prasarana dan Utilitas Sekolah",0,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.36,Pengadaan Mebel Sekolah,0,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.38,Pengadaan Perlengkapan Sekolah,222196678000,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.41,Pengadaaan Alat Praktik dan Peraga Peserta Didik,0,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.45,Penyediaan Biaya Personil Peserta Didik Sekolah Menengah Atas,1505163671169,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.46,Pengadaaan Alat Praktik dan Peraga Siswa,20483619800,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.47,Penyelenggaraan Proses Belajar dan Ujian bagi Peserta Didik,3075600000,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.48,Penyiapan dan Tindak Lanjut Evaluasi Satuan Pendidikan Menengah Atas,12966650025,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.49,"Pembinaan Minat, Bakat dan Kreativitas Siswa",6029975000,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.50,Penyediaan Pendidik dan Tenaga Kependidikan bagi Satuan Pendidikan Sekolah Menengah Atas,0,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.51,Pengembangan Karir Pendidik dan Tenaga Kependidikan Pada Satuan Pendidikan Sekolah Menengah Atas,0,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.52,Pembinaan Kelembagaan dan Manajemen Sekolah Menengah Atas,1871949890,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.01.53,Pengelolaan Dana BOS Sekolah Menengah Atas,1270793960000,1.01.02.1.01,Dinas Pendidikan,1003
1.01.02.1.02.01,Pembangunan USB (Unit Sekolah Baru),5617000000,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.02,Penambahan Ruang Kelas Sekolah,9050000000,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.30,Pengadaan Perlengkapan Sekolah,220339556000,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.37,Penyediaan Biaya Personil Peserta Didik Sekolah Menengah Kejuruan,456273000000,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.38,Pengadaaan Alat Praktik dan Peraga Siswa,37500000000,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.40,Penyiapan dan Tindak Lanjut Evaluasi Satuan Pendidikan Menengah Kejuruan,0,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.41,"Pembinaan Minat, Bakat dan Kreativitas Siswa",2216232620,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.42,Penyediaan Pendidik dan Tenaga Kependidikan bagi Satuan Pendidikan Sekolah Menengah Kejuruan,0,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.43,Pengembangan Karir Pendidik dan Tenaga Kependidikan Pada Satuan Pendidikan Sekolah Menengah Kejuruan,0,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.45,Pembinaan Kelembagaan dan Manajemen Sekolah Menengah Kejuruan,2300375110,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.46,Pengelolaan Dana BOS Sekolah Menengah Kejuruan,800000000,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.02.47,Peningkatan Kapasitas Pengelolaan Dana BOS Sekolah Menengah Kejuruan,1847954090000,1.01.02.1.02,Dinas Pendidikan,1003
1.01.02.1.03.01,Pembangunan Unit Sekolah Baru (USB),0,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.02,Penambahan Ruang Kelas Sekolah,0,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.18,Rehabilitasi Ruang Kelas Sekolah,0,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.35,Pengadaan Mebel Sekolah,208002000,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.37,Pengadaan Perlengkapan Sekolah,18737594000,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.40,Pengadaaan Alat Praktik dan Peraga Peserta Didik,0,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.44,Penyediaan Biaya Personil Peserta Didik Pendidikan Khusus,26002350000,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.45,Pengadaan Alat Praktik dan Peraga Siswa,570000000,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.46,Penyelenggaraan Proses Belajar dan Ujian bagi Peserta Didik,549000000,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.47,Penyiapan dan Tindak Lanjut Evaluasi Satuan Pendidikan Khusus,0,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.48,"Pembinaan Minat, Bakat dan Kreativitas Siswa",10837391727,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.49,Penyediaan Pendidik dan Tenaga Kependidikan bagi Satuan Pendidikan Khusus,0,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.50,Pengembangan Karir Pendidik dan Tenaga Kependidikan pada Satuan Pendidikan Khusus,0,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.51,Pembinaan Kelembagaan dan Manajemen Sekolah Pendidikan Khusus,3354083000,1.01.02.1.03,Dinas Pendidikan,1003
1.01.02.1.03.52,Pengelolaan Dana BOS Sekolah Pendidikan Khusus,104995100000,1.01.02.1.03,Dinas Pendidikan,1003
1.01.04.1.01.01,Perhitungan dan Pemetaan Pendidik dan Tenaga Kependidikan Satuan Pendidikan Menengah dan Pendidikan Khusus,5725000000,1.01.04.1.01,Dinas Pendidikan,1003
